devicetime,latitude,longitude,ac_lat,angle_volante,yaw_rate,rpm,score,anomaly,anomaly_data
2022-12-04 00:35:01.000,"-2,257,988","-6,880,341",-1.33,-0.52,-0.05,1331.0,"26,796,121,337",1,Yes
2022-12-04 00:35:02.000,"-22,579,645","-68,803,435",-0.69,-0.51,-0.04,1340.0,"11,908,699,615",0,No
2022-12-04 00:35:03.000,"-225,794,116","-6,880,345",-0.63,-0.51,-0.04,1332.0,"11,011,281,546",0,No
2022-12-04 00:35:04.000,"-22,579,175","-6,880,345",-0.79,-0.47,-0.04,1329.0,"14,313,956,014",0,No
2022-12-04 00:35:05.000,"-22,578,935","-6,880,344",-1.03,-0.48,-0.04,1325.0,"20,492,542,099",1,Yes
2022-12-04 00:35:06.000,"-225,786,966","-688,034,166",-0.75,-0.52,-0.05,1324.0,"13,418,365,219",0,No
2022-12-04 00:35:07.000,"-225,784,616","-688,033,816",-1.41,-0.33,-0.02,1326.0,"28,576,087,618",1,Yes
2022-12-04 00:35:08.000,"-2,257,823","-68,803,335",-0.67,-0.1,-0.01,1323.0,"11,647,318,053",0,No
2022-12-04 00:35:09.000,"-225,779,966","-68,803,275",0.34,-0.09,0.0,1333.0,"8,143,606,213",0,No
2022-12-04 00:35:09.000,"-225,779,966","-68,803,275",-0.15,-0.14,-0.01,1334.0,"7,289,605,214",0,No
2022-12-04 00:35:10.000,"-225,777,616","-68,803,205",-0.37,-0.13,0.0,1330.0,"8,235,849,111",0,No
2022-12-04 00:35:11.000,"-225,775,316","-68,803,135",-0.23,0.08,0.0,1327.0,"7,405,026,519",0,No
2022-12-04 00:35:12.000,"-225,773,033","-688,030,633",0.08,0.13,0.01,1329.0,"7,539,225,724",0,No
2022-12-04 00:35:13.000,"-225,770,733","-688,029,883",1.26,0.13,0.0,1328.0,"29,554,704,568",1,Yes
2022-12-04 00:35:14.000,"-225,768,433","-68,802,915",0.3,0.14,0.0,1327.0,"8,083,016,842",0,No
2022-12-04 00:35:24.000,"-225,745,516","-688,022",-0.55,-0.17,-0.01,1331.0,"10,578,514,242",0,No
